1328, Belleville, Guelph, 26
3445, Belleville, Guelph, 10
2639, Belleville, Toronto, 30
1150, Toronto, Belleville, 4
829, Toronto, Belleville, 7
525, Toronto, Belleville, 10
3885, Guelph, Belleville, 29
1223, Belleville, Guelph, 9
4901, Toronto, Hamilton, 6
4156, Toronto, Belleville, 33
3478, Guelph, Hamilton, 18
2516, Toronto, Belleville, 29
4413, Toronto, Belleville, 1
1829, Belleville, Guelph, 22
2941, Hamilton, Belleville, 33
4356, Guelph, Hamilton, 29
3779, Hamilton, Toronto, 5
3558, Guelph, Toronto, 10
3604, Hamilton, Toronto, 28
1368, Belleville, Toronto, 3
1673, Guelph, Belleville, 31
2581, Hamilton, Belleville, 17
3917, Hamilton, Toronto, 16
2203, Hamilton, Belleville, 15
2893, Toronto, Hamilton, 17
3516, Guelph, Toronto, 24
1836, Hamilton, Belleville, 28
4213, Toronto, Guelph, 30
2536, Toronto, Guelph, 25
1111, Hamilton, Guelph, 9
2178, Hamilton, Belleville, 31
2168, Hamilton, Guelph, 13
4756, Toronto, Guelph, 10
3782, Toronto, Hamilton, 14
2972, Hamilton, Toronto, 10
4944, Hamilton, Toronto, 19
3769, Guelph, Belleville, 17
4138, Hamilton, Guelph, 13
2955, Guelph, Hamilton, 13
3389, Guelph, Toronto, 19
1794, Belleville, Toronto, 18
2290, Belleville, Hamilton, 24
3924, Guelph, Hamilton, 31
2365, Guelph, Toronto, 23
1409, Hamilton, Guelph, 21
2677, Belleville, Toronto, 32
2687, Toronto, Belleville, 21
2787, Hamilton, Belleville, 34
1752, Guelph, Hamilton, 8
2496, Hamilton, Belleville, 16
2968, Belleville, Guelph, 16
4858, Guelph, Hamilton, 34
3376, Hamilton, Belleville, 6
3064, Hamilton, Guelph, 30
2156, Toronto, Guelph, 22
4837, Belleville, Hamilton, 33
4976, Guelph, Toronto, 30
2990, Belleville, Guelph, 17
362, Belleville, Hamilton, 16
3587, Toronto, Guelph, 27
2479, Hamilton, Toronto, 14
2930, Hamilton, Belleville, 13
2328, Guelph, Belleville, 25
1458, Toronto, Guelph, 19
441, Hamilton, Belleville, 30
1554, Belleville, Toronto, 2
4671, Belleville, Hamilton, 6
4765, Belleville, Guelph, 18
2788, Guelph, Toronto, 31
1000, Toronto, Belleville, 18
3394, Belleville, Guelph, 32
324, Hamilton, Guelph, 25
951, Belleville, Hamilton, 35
2031, Hamilton, Toronto, 16
3668, Belleville, Hamilton, 15
584, Toronto, Belleville, 28
3929, Hamilton, Guelph, 11
4725, Hamilton, Belleville, 18
2934, Belleville, Toronto, 30
4454, Toronto, Belleville, 23
156, Guelph, Hamilton, 17
4825, Toronto, Guelph, 15
2073, Belleville, Toronto, 4
1451, Belleville, Hamilton, 26
1138, Guelph, Belleville, 33
2355, Guelph, Belleville, 30
897, Guelph, Belleville, 24
585, Belleville, Toronto, 22
383, Toronto, Guelph, 11
1718, Toronto, Belleville, 12
1623, Toronto, Guelph, 25
4204, Hamilton, Toronto, 25
1175, Hamilton, Guelph, 6
1916, Belleville, Hamilton, 19
2877, Hamilton, Belleville, 15
3752, Guelph, Belleville, 32
4702, Hamilton, Guelph, 27
1088, Belleville, Toronto, 21
3428, Toronto, Belleville, 34
4983, Belleville, Toronto, 13
2024, Toronto, Belleville, 32
4686, Hamilton, Guelph, 13
3252, Guelph, Hamilton, 25
3205, Toronto, Belleville, 4
3945, Guelph, Belleville, 30
1025, Toronto, Belleville, 2
3141, Belleville, Guelph, 25
3202, Guelph, Toronto, 33
2979, Hamilton, Toronto, 2
2903, Hamilton, Belleville, 8
3606, Toronto, Hamilton, 15
2138, Hamilton, Belleville, 28
4513, Guelph, Hamilton, 22
1104, Toronto, Belleville, 33
4370, Guelph, Toronto, 31
4689, Belleville, Hamilton, 4
2292, Hamilton, Belleville, 34
176, Belleville, Toronto, 11
2715, Belleville, Guelph, 9
1875, Guelph, Toronto, 31
741, Guelph, Toronto, 28
4626, Hamilton, Guelph, 27
4933, Guelph, Belleville, 27
2649, Belleville, Hamilton, 27
4840, Belleville, Hamilton, 7
419, Belleville, Toronto, 26
2795, Guelph, Belleville, 26
2443, Belleville, Toronto, 13
4002, Belleville, Toronto, 25
754, Hamilton, Belleville, 13
3250, Toronto, Guelph, 5
3277, Toronto, Guelph, 20
3812, Hamilton, Belleville, 25
1327, Toronto, Belleville, 13
1160, Hamilton, Toronto, 31
3177, Guelph, Hamilton, 35
819, Hamilton, Belleville, 1
2302, Belleville, Toronto, 1
1196, Belleville, Hamilton, 21
1895, Hamilton, Guelph, 5
3654, Hamilton, Toronto, 7
1927, Toronto, Belleville, 15
3261, Toronto, Guelph, 11
4579, Belleville, Hamilton, 19
609, Belleville, Hamilton, 22
2927, Belleville, Guelph, 25
578, Hamilton, Guelph, 13
3403, Belleville, Hamilton, 27
3672, Hamilton, Belleville, 9
3294, Toronto, Belleville, 3
2387, Hamilton, Belleville, 34
3450, Belleville, Toronto, 3
2124, Hamilton, Toronto, 31
2296, Guelph, Hamilton, 30
3624, Belleville, Guelph, 23
3656, Toronto, Hamilton, 10
4231, Hamilton, Belleville, 9
602, Belleville, Hamilton, 11
203, Toronto, Guelph, 30
1821, Hamilton, Guelph, 13
4150, Toronto, Belleville, 18
4447, Belleville, Guelph, 32
1713, Toronto, Guelph, 24
3300, Toronto, Guelph, 17
2610, Hamilton, Guelph, 30
464, Belleville, Guelph, 21
52, Toronto, Hamilton, 35
3863, Toronto, Belleville, 31
2859, Belleville, Hamilton, 9
3599, Guelph, Belleville, 5
4897, Hamilton, Guelph, 11
907, Guelph, Toronto, 31
1134, Belleville, Toronto, 31
960, Hamilton, Belleville, 23
4297, Hamilton, Guelph, 1
4910, Toronto, Guelph, 26
3963, Belleville, Toronto, 17
1608, Toronto, Hamilton, 7
3320, Belleville, Guelph, 24
2978, Belleville, Guelph, 17
4800, Hamilton, Guelph, 18
2693, Hamilton, Belleville, 13
228, Hamilton, Toronto, 16
4081, Hamilton, Toronto, 24
1696, Belleville, Guelph, 23
1174, Belleville, Toronto, 22
2560, Hamilton, Toronto, 2
2982, Belleville, Guelph, 31
3621, Hamilton, Guelph, 30
3562, Guelph, Hamilton, 32
3112, Toronto, Hamilton, 23
2300, Guelph, Toronto, 11
71, Hamilton, Guelph, 20
1129, Hamilton, Toronto, 1
23, Hamilton, Guelph, 3
3050, Belleville, Hamilton, 26
3980, Guelph, Toronto, 3
1587, Guelph, Hamilton, 23
4850, Toronto, Guelph, 27
693, Toronto, Guelph, 11
2564, Guelph, Hamilton, 6
3366, Belleville, Guelph, 6
1852, Guelph, Belleville, 34
3628, Belleville, Hamilton, 25
4001, Hamilton, Toronto, 13
1509, Belleville, Toronto, 27
4788, Guelph, Toronto, 30
575, Guelph, Toronto, 3
3193, Belleville, Hamilton, 25
1159, Toronto, Guelph, 24
536, Guelph, Toronto, 9
3066, Guelph, Belleville, 33
3426, Guelph, Toronto, 5
553, Toronto, Hamilton, 26
3633, Guelph, Toronto, 4
2381, Belleville, Hamilton, 14
415, Hamilton, Toronto, 17
921, Toronto, Guelph, 3
3483, Toronto, Guelph, 17
2761, Guelph, Toronto, 22
3845, Toronto, Guelph, 9
1540, Toronto, Belleville, 9
2505, Hamilton, Belleville, 25
1157, Hamilton, Guelph, 31
3416, Hamilton, Guelph, 30
2794, Guelph, Belleville, 13
606, Hamilton, Guelph, 19
1162, Hamilton, Belleville, 11
4888, Belleville, Guelph, 8
1163, Belleville, Guelph, 21
4941, Toronto, Guelph, 2
2532, Hamilton, Belleville, 1
3307, Guelph, Hamilton, 29
3836, Toronto, Hamilton, 11
4434, Guelph, Hamilton, 22
640, Belleville, Toronto, 1
2074, Hamilton, Guelph, 26
3299, Guelph, Hamilton, 4
4448, Toronto, Hamilton, 10
2266, Belleville, Hamilton, 31
2926, Hamilton, Guelph, 16
1796, Guelph, Belleville, 29
600, Toronto, Guelph, 26
1593, Belleville, Guelph, 1
3529, Toronto, Guelph, 28
2441, Belleville, Guelph, 31
4927, Guelph, Belleville, 2
4696, Guelph, Belleville, 21
4721, Guelph, Toronto, 11
1264, Belleville, Guelph, 10
2054, Belleville, Guelph, 28
2593, Belleville, Hamilton, 17
1738, Hamilton, Guelph, 14
2616, Hamilton, Guelph, 29
2885, Toronto, Guelph, 1
3685, Guelph, Hamilton, 16
4648, Belleville, Toronto, 31
1032, Guelph, Belleville, 33
1094, Belleville, Hamilton, 35
646, Toronto, Guelph, 8
522, Guelph, Toronto, 11
2511, Toronto, Hamilton, 8
4985, Hamilton, Toronto, 21
4693, Belleville, Guelph, 35
4021, Belleville, Toronto, 12
2237, Belleville, Guelph, 17
868, Hamilton, Guelph, 27
2113, Guelph, Hamilton, 10
4955, Guelph, Toronto, 25
377, Hamilton, Guelph, 21
3804, Toronto, Hamilton, 29
318, Toronto, Hamilton, 14
2998, Hamilton, Belleville, 13
3106, Hamilton, Guelph, 1
2642, Belleville, Hamilton, 12
373, Guelph, Hamilton, 26
1004, Hamilton, Belleville, 1
734, Guelph, Hamilton, 31
1698, Toronto, Belleville, 13
4325, Toronto, Guelph, 26
3648, Toronto, Belleville, 22
3728, Toronto, Belleville, 6
3978, Belleville, Hamilton, 15
1213, Hamilton, Belleville, 9
881, Hamilton, Toronto, 25
2909, Hamilton, Toronto, 1
2030, Hamilton, Belleville, 32
4025, Toronto, Belleville, 28
1552, Belleville, Hamilton, 6
2548, Hamilton, Guelph, 35
4130, Belleville, Toronto, 30
1283, Toronto, Belleville, 35
1856, Hamilton, Toronto, 7
4166, Guelph, Belleville, 21
4607, Toronto, Hamilton, 24
2944, Hamilton, Belleville, 27
3381, Toronto, Guelph, 13
3191, Belleville, Guelph, 3
414, Guelph, Hamilton, 3
3040, Toronto, Guelph, 23
797, Belleville, Guelph, 11
700, Guelph, Toronto, 3
2392, Hamilton, Belleville, 7
3140, Hamilton, Guelph, 8
2864, Toronto, Guelph, 5
427, Toronto, Belleville, 19
4817, Belleville, Guelph, 9
3565, Toronto, Guelph, 11
796, Guelph, Toronto, 19
2480, Guelph, Belleville, 20
320, Guelph, Belleville, 16
1318, Belleville, Hamilton, 6
4268, Belleville, Guelph, 27
2557, Hamilton, Guelph, 22
1591, Hamilton, Guelph, 26
1128, Guelph, Hamilton, 27
4806, Hamilton, Toronto, 7
3422, Hamilton, Guelph, 22
2994, Toronto, Guelph, 31
4339, Guelph, Hamilton, 14
3652, Toronto, Guelph, 29
3045, Guelph, Hamilton, 11
845, Belleville, Hamilton, 15
2293, Belleville, Hamilton, 8
4733, Hamilton, Toronto, 8
633, Hamilton, Guelph, 22
953, Guelph, Hamilton, 27
3489, Guelph, Toronto, 12
4835, Guelph, Hamilton, 24
4479, Belleville, Hamilton, 33
2465, Toronto, Hamilton, 6
3725, Toronto, Hamilton, 23
1422, Guelph, Toronto, 10
2933, Guelph, Toronto, 11
99, Guelph, Belleville, 12
385, Hamilton, Belleville, 9
3005, Belleville, Hamilton, 13
4883, Hamilton, Toronto, 33
4394, Guelph, Hamilton, 16
4061, Guelph, Hamilton, 24
2952, Toronto, Belleville, 5
77, Belleville, Hamilton, 16
937, Belleville, Guelph, 27
2643, Belleville, Guelph, 15
1039, Hamilton, Toronto, 21
1336, Hamilton, Guelph, 16
310, Toronto, Guelph, 6
28, Guelph, Hamilton, 26
26, Guelph, Hamilton, 3
1302, Hamilton, Guelph, 18
1176, Guelph, Hamilton, 8
4272, Hamilton, Toronto, 5
1115, Belleville, Guelph, 13
4315, Toronto, Belleville, 27
3264, Guelph, Belleville, 35
1789, Toronto, Hamilton, 28
3753, Toronto, Hamilton, 12
4726, Toronto, Guelph, 31
3602, Hamilton, Guelph, 2
1704, Toronto, Guelph, 33
4091, Toronto, Hamilton, 23
56, Belleville, Hamilton, 29
4107, Belleville, Toronto, 10
2222, Belleville, Hamilton, 5
3663, Belleville, Guelph, 23
455, Guelph, Hamilton, 2
2208, Hamilton, Belleville, 15
3680, Guelph, Toronto, 1
1517, Hamilton, Toronto, 17
1238, Guelph, Belleville, 16
2267, Belleville, Toronto, 15
3039, Hamilton, Toronto, 35
490, Hamilton, Guelph, 22
516, Hamilton, Toronto, 26
4050, Toronto, Belleville, 10
2112, Toronto, Hamilton, 12
117, Guelph, Belleville, 28
4773, Hamilton, Toronto, 22
4029, Toronto, Guelph, 11
3274, Toronto, Belleville, 24
4949, Guelph, Hamilton, 4
2340, Toronto, Hamilton, 17
143, Belleville, Guelph, 2
3605, Belleville, Guelph, 9
1288, Toronto, Hamilton, 4
3212, Hamilton, Toronto, 10
4346, Toronto, Hamilton, 33
3609, Hamilton, Guelph, 21
4212, Hamilton, Guelph, 12
1757, Guelph, Belleville, 16
2838, Hamilton, Toronto, 14
1725, Belleville, Toronto, 35
2663, Guelph, Belleville, 25
2297, Toronto, Guelph, 11
2569, Belleville, Toronto, 18
3588, Hamilton, Toronto, 23
1681, Toronto, Belleville, 24
3582, Belleville, Guelph, 23
60, Hamilton, Guelph, 25
4986, Guelph, Belleville, 22
232, Belleville, Hamilton, 17
4946, Belleville, Guelph, 6
226, Guelph, Hamilton, 26
948, Belleville, Hamilton, 10
4753, Hamilton, Toronto, 35
2699, Belleville, Guelph, 14
3256, Belleville, Toronto, 34
859, Toronto, Hamilton, 14
4253, Toronto, Belleville, 34
3321, Hamilton, Guelph, 10
261, Belleville, Toronto, 13
1153, Belleville, Hamilton, 16
35, Guelph, Belleville, 18
1847, Guelph, Toronto, 17
2500, Toronto, Belleville, 14
2714, Belleville, Toronto, 27
4116, Hamilton, Guelph, 27
1772, Toronto, Belleville, 14
1675, Belleville, Hamilton, 1
888, Toronto, Hamilton, 23
3374, Guelph, Toronto, 32
1771, Hamilton, Guelph, 21
1394, Hamilton, Guelph, 5
94, Toronto, Guelph, 31
4354, Toronto, Guelph, 9
3072, Toronto, Guelph, 5
1923, Belleville, Hamilton, 30
189, Toronto, Belleville, 34
588, Toronto, Belleville, 17
4423, Guelph, Belleville, 25
4761, Toronto, Guelph, 35
1589, Hamilton, Belleville, 9
1023, Hamilton, Toronto, 1
3695, Guelph, Belleville, 27
2243, Belleville, Hamilton, 17
579, Hamilton, Guelph, 31
3000, Guelph, Hamilton, 34
3213, Hamilton, Belleville, 30
1003, Toronto, Guelph, 9
252, Belleville, Toronto, 33
1109, Toronto, Guelph, 35
4468, Toronto, Hamilton, 20
349, Belleville, Hamilton, 16
3647, Toronto, Hamilton, 25
1234, Guelph, Belleville, 25
3669, Hamilton, Guelph, 4
2228, Guelph, Belleville, 24
283, Belleville, Guelph, 22
675, Toronto, Belleville, 1
540, Hamilton, Belleville, 17
794, Toronto, Hamilton, 8
1795, Toronto, Hamilton, 14
3318, Hamilton, Belleville, 22
648, Toronto, Guelph, 35
707, Toronto, Guelph, 6
2985, Toronto, Hamilton, 19
2582, Guelph, Belleville, 17
1161, Toronto, Belleville, 20
3481, Toronto, Hamilton, 6
2815, Belleville, Guelph, 5
3396, Hamilton, Toronto, 27
4572, Guelph, Hamilton, 26
4132, Hamilton, Guelph, 8
367, Hamilton, Belleville, 29
529, Belleville, Hamilton, 14
1271, Belleville, Hamilton, 16
3270, Belleville, Guelph, 33
999, Toronto, Belleville, 9
1691, Guelph, Hamilton, 30
3048, Hamilton, Belleville, 34
1810, Guelph, Hamilton, 19
380, Guelph, Belleville, 16
3988, Belleville, Toronto, 2
2561, Belleville, Hamilton, 13
4407, Hamilton, Belleville, 17
3007, Belleville, Toronto, 15
3657, Guelph, Belleville, 25
3214, Belleville, Guelph, 13
1666, Belleville, Guelph, 28
2098, Belleville, Guelph, 29
4732, Guelph, Toronto, 6
3892, Belleville, Toronto, 12
2822, Guelph, Toronto, 10
3744, Guelph, Belleville, 34
2969, Toronto, Belleville, 33
1642, Guelph, Belleville, 35
3948, Hamilton, Toronto, 10
1882, Toronto, Hamilton, 9
3263, Belleville, Guelph, 19
4186, Guelph, Hamilton, 3
595, Guelph, Hamilton, 13
3849, Hamilton, Belleville, 35
2114, Belleville, Toronto, 12
926, Toronto, Hamilton, 30
1678, Belleville, Toronto, 16
3709, Toronto, Belleville, 34
244, Hamilton, Belleville, 28
3406, Guelph, Belleville, 7
3507, Belleville, Hamilton, 17
3853, Hamilton, Toronto, 1
1981, Belleville, Guelph, 8
4915, Guelph, Toronto, 32
1904, Hamilton, Toronto, 14
3731, Belleville, Toronto, 33
4191, Belleville, Toronto, 18
40, Belleville, Guelph, 3
2084, Guelph, Belleville, 30
4228, Belleville, Guelph, 2
1514, Hamilton, Toronto, 9
2697, Toronto, Guelph, 30
930, Belleville, Guelph, 1
2876, Belleville, Hamilton, 31
3372, Hamilton, Guelph, 23
4137, Toronto, Hamilton, 4
2658, Hamilton, Toronto, 25
4244, Belleville, Guelph, 6
982, Guelph, Belleville, 30
72, Guelph, Belleville, 10
1994, Belleville, Toronto, 31
1874, Hamilton, Guelph, 13
2291, Hamilton, Belleville, 22
1375, Hamilton, Toronto, 29
771, Guelph, Belleville, 10
715, Hamilton, Belleville, 22
2793, Toronto, Belleville, 5
3032, Belleville, Hamilton, 28
1294, Hamilton, Guelph, 34
3402, Hamilton, Belleville, 27
4929, Hamilton, Guelph, 2
1659, Toronto, Hamilton, 26
4719, Hamilton, Toronto, 20
577, Toronto, Belleville, 6
1312, Guelph, Belleville, 27
4395, Guelph, Belleville, 14
3251, Guelph, Hamilton, 23
1381, Guelph, Hamilton, 19
4427, Guelph, Belleville, 4
743, Belleville, Guelph, 27
3311, Guelph, Hamilton, 22
851, Guelph, Toronto, 21
1083, Guelph, Hamilton, 25
2301, Toronto, Belleville, 29
2522, Guelph, Toronto, 30
3365, Guelph, Hamilton, 31
4337, Belleville, Guelph, 4
3225, Guelph, Hamilton, 29
562, Belleville, Toronto, 32
635, Belleville, Toronto, 13
2883, Hamilton, Belleville, 28
3646, Belleville, Toronto, 1
3173, Guelph, Toronto, 28
2440, Toronto, Guelph, 20
4956, Guelph, Hamilton, 5
17, Hamilton, Guelph, 11
3114, Belleville, Hamilton, 2
572, Belleville, Toronto, 21
491, Toronto, Belleville, 1
3557, Toronto, Belleville, 17
1118, Belleville, Guelph, 27
3682, Toronto, Hamilton, 1
1780, Guelph, Belleville, 10
657, Hamilton, Guelph, 1
4746, Toronto, Guelph, 4
1793, Toronto, Belleville, 4
2407, Guelph, Hamilton, 19
2895, Toronto, Guelph, 25
4621, Guelph, Belleville, 10
746, Toronto, Belleville, 23
246, Belleville, Hamilton, 32
1568, Guelph, Toronto, 25
2502, Guelph, Toronto, 5
1528, Guelph, Belleville, 35
323, Belleville, Guelph, 19
3003, Belleville, Guelph, 19
538, Hamilton, Toronto, 7
73, Belleville, Guelph, 31
1976, Guelph, Hamilton, 4
2354, Hamilton, Guelph, 4
1030, Belleville, Hamilton, 11
3960, Toronto, Belleville, 14
1249, Toronto, Hamilton, 6
2396, Guelph, Hamilton, 28
4665, Belleville, Guelph, 8
2253, Belleville, Hamilton, 1
4676, Toronto, Hamilton, 28
3955, Guelph, Toronto, 6
4887, Guelph, Hamilton, 23
1253, Guelph, Hamilton, 14
3937, Toronto, Belleville, 13
4714, Toronto, Belleville, 34
3964, Guelph, Toronto, 15
16, Hamilton, Belleville, 2
3790, Toronto, Hamilton, 35
3201, Hamilton, Toronto, 7
4241, Hamilton, Toronto, 22
2186, Belleville, Toronto, 21
3135, Guelph, Hamilton, 9
2650, Belleville, Toronto, 27
668, Hamilton, Belleville, 6
4524, Guelph, Toronto, 35
2021, Belleville, Guelph, 16
1784, Belleville, Hamilton, 16
947, Hamilton, Guelph, 33
742, Belleville, Hamilton, 11
4791, Belleville, Hamilton, 23
3033, Belleville, Toronto, 29
4282, Toronto, Guelph, 30
3746, Toronto, Guelph, 8
2601, Guelph, Toronto, 19
939, Toronto, Hamilton, 16
44, Belleville, Hamilton, 2
1382, Guelph, Hamilton, 10
681, Toronto, Hamilton, 33
4849, Belleville, Guelph, 8
2995, Guelph, Toronto, 15
1864, Toronto, Belleville, 19
4871, Guelph, Toronto, 17
4582, Belleville, Toronto, 32
304, Belleville, Hamilton, 26
1832, Belleville, Hamilton, 15
4216, Hamilton, Guelph, 28
2879, Toronto, Guelph, 22
2845, Hamilton, Guelph, 1
4913, Belleville, Hamilton, 7
550, Guelph, Toronto, 26
2397, Hamilton, Belleville, 13
729, Hamilton, Belleville, 6
2053, Guelph, Toronto, 13
2435, Toronto, Belleville, 22
3246, Belleville, Toronto, 5
1814, Toronto, Hamilton, 30
4647, Guelph, Belleville, 34
219, Hamilton, Guelph, 19
4606, Guelph, Belleville, 17
650, Guelph, Hamilton, 16
2201, Toronto, Belleville, 12
3470, Hamilton, Guelph, 34
1626, Toronto, Guelph, 12
1670, Belleville, Hamilton, 5
1434, Hamilton, Guelph, 18
4403, Hamilton, Guelph, 7
2022, Toronto, Hamilton, 34
1439, Belleville, Hamilton, 28
3692, Belleville, Guelph, 9
2037, Toronto, Belleville, 6
3210, Belleville, Guelph, 12
2764, Toronto, Belleville, 21
4708, Toronto, Guelph, 32
1315, Hamilton, Guelph, 3
329, Belleville, Hamilton, 25
4384, Guelph, Hamilton, 18
307, Belleville, Toronto, 33
4211, Belleville, Guelph, 30
1307, Belleville, Toronto, 1
3153, Hamilton, Guelph, 3
2527, Belleville, Hamilton, 18
3918, Hamilton, Guelph, 27
3971, Hamilton, Guelph, 11
3335, Guelph, Belleville, 13
1335, Toronto, Hamilton, 11
4664, Belleville, Toronto, 16
240, Guelph, Belleville, 34
3434, Guelph, Belleville, 31
1898, Hamilton, Toronto, 5
2804, Belleville, Guelph, 13
1190, Toronto, Belleville, 15
2264, Guelph, Toronto, 17
74, Toronto, Guelph, 23
3543, Toronto, Belleville, 35
1050, Toronto, Guelph, 14
347, Guelph, Toronto, 16
1037, Guelph, Toronto, 34
997, Toronto, Guelph, 33
1808, Guelph, Hamilton, 18
3625, Toronto, Hamilton, 27
125, Guelph, Hamilton, 14
2672, Guelph, Belleville, 15
3448, Toronto, Hamilton, 6
722, Belleville, Toronto, 25
2924, Belleville, Guelph, 13
2067, Guelph, Hamilton, 32
574, Belleville, Guelph, 10
2827, Guelph, Toronto, 9
4593, Belleville, Toronto, 18
3926, Hamilton, Toronto, 11
1070, Guelph, Toronto, 30
2680, Toronto, Belleville, 1
4994, Toronto, Guelph, 27
2652, Toronto, Guelph, 18
1792, Hamilton, Belleville, 23
4402, Hamilton, Belleville, 1
1386, Hamilton, Belleville, 5
3245, Guelph, Toronto, 25
314, Belleville, Hamilton, 4
502, Guelph, Hamilton, 27
3442, Hamilton, Toronto, 26
1306, Toronto, Hamilton, 6
4519, Guelph, Toronto, 5
2595, Toronto, Guelph, 6
4115, Toronto, Belleville, 13
186, Toronto, Hamilton, 29
2275, Toronto, Hamilton, 23
2071, Belleville, Toronto, 23
4592, Belleville, Toronto, 29
4102, Belleville, Guelph, 29
2236, Toronto, Guelph, 2
1272, Belleville, Guelph, 15
2780, Hamilton, Belleville, 18
3405, Guelph, Hamilton, 28
1383, Toronto, Hamilton, 1
2363, Belleville, Guelph, 19
4188, Hamilton, Guelph, 8
1600, Toronto, Belleville, 5
808, Hamilton, Guelph, 17
4187, Hamilton, Belleville, 24
4429, Toronto, Belleville, 26
1888, Belleville, Hamilton, 7
2306, Hamilton, Guelph, 16
4588, Guelph, Toronto, 21
2089, Hamilton, Toronto, 32
